Line 8 x,Line 8 y
2.997442470904E2,4.022599331328E-1
3.020031596608E2,4.157827916869E-1
3.035175711830E2,4.278039828538E-1
3.044486669172E2,4.422481130398E-1
3.046522900378E2,4.436828985534E-1
3.054070541398E2,4.561482152003E-1
3.056278980596E2,4.574923618745E-1
3.064721036254E2,4.715661697187E-1
3.065334966543E2,4.728774319236E-1
3.074598720218E2,4.861823924459E-1
3.075956132305E2,4.875713197154E-1
3.085320798534E2,5.000001399624E-1
3.085382508372E2,5.022117869718E-1
3.093768564849E2,5.140022457146E-1
3.094735551351E2,5.156915490653E-1
3.096283850699E2,5.173856640580E-1
3.105561312956E2,5.310187340528E-1
3.113810680381E2,5.446698983698E-1
3.114242383256E2,5.472295386348E-1
3.123770135067E2,5.586701363454E-1
3.131590978838E2,5.725412208957E-1
3.132527019948E2,5.737650713673E-1
3.141909783918E2,5.883305771593E-1
3.148395782108E2,6.022667325256E-1
3.156506863933E2,6.162500633166E-1
3.157743829167E2,6.190290632268E-1
3.166427532122E2,6.327697398617E-1
3.166516961797E2,6.315641595980E-1
3.174516745522E2,6.456871921068E-1
3.178891703243E2,6.515430616300E-1
3.183625482394E2,6.401912036321E-1
3.183642616339E2,6.604990313193E-1
3.188981268085E2,6.661574159428E-1
3.195235475547E2,6.771258396769E-1
3.199092605259E2,6.813674585310E-1
3.205374907062E2,6.931258244771E-1
3.207842388612E2,6.961544070880E-1
3.214877349950E2,7.072518691688E-1
3.217969329367E2,7.101810866224E-1
3.224064588452E2,7.208254860095E-1
3.226431905512E2,7.243290346083E-1
3.232965233758E2,7.357378324480E-1
3.236527776143E2,7.396680634758E-1
3.242234086163E2,7.526844601045E-1
3.243673917242E2,7.547080248501E-1
3.253038207827E2,7.675110224030E-1
3.253990521415E2,7.685624116515E-1
3.263522395177E2,7.837296011506E-1
3.274837214605E2,8.017730182861E-1
3.277810502588E2,8.083242387448E-1
3.288061457727E2,8.243462889983E-1
3.299340320283E2,8.396205589526E-1
3.305328226494E2,8.447736387555E-1
3.311696727371E2,8.566042739302E-1
3.321145052917E2,8.704510756597E-1
3.331946141926E2,8.843017039326E-1
3.343916316070E2,8.993089790071E-1
3.346209018221E2,9.009629432858E-1
3.353670263099E2,9.133009627412E-1
3.367535184765E2,9.272410910622E-1
3.376707357701E2,9.371430840062E-1
3.380927869833E2,9.413713023725E-1
3.394243055712E2,9.545385788209E-1
3.396047920097E2,9.571858690381E-1
3.408425226454E2,9.685654857614E-1
3.412236076749E2,9.716063529541E-1
3.426754813159E2,9.807730082415E-1
3.433968919521E2,9.857571592326E-1
3.447819586258E2,9.918583172968E-1
3.458858283958E2,9.949719936955E-1
3.480586270273E2,9.998630991173E-1
3.489139223458E2,1.000087437994E0
3.514698408468E2,9.953673453553E-1
3.522840140743E2,9.929959223710E-1
3.541922529327E2,9.841164158024E-1
3.546349242503E2,9.809679488910E-1
3.563302796929E2,9.687308996014E-1
3.580648703653E2,9.535605825275E-1
3.593417483754E2,9.377119685377E-1
3.605903589950E2,9.237026400399E-1
3.615300926108E2,9.092542118512E-1
3.632650392644E2,8.831221297165E-1
3.643100591864E2,8.666699302792E-1
3.652874082100E2,8.522342167873E-1
3.658912222551E2,8.380484563175E-1
3.669208205772E2,8.233458120230E-1
3.675330687324E2,8.090528809499E-1
3.683854422026E2,7.949920766895E-1
3.690727595888E2,7.792896514106E-1
3.699888076090E2,7.645344662251E-1
3.706369433014E2,7.498110808071E-1
3.712769809345E2,7.351092910406E-1
3.720127165864E2,7.201020130709E-1
3.723537926366E2,7.056720729148E-1
3.733358085171E2,6.907200626904E-1
3.742903111900E2,6.741234241760E-1
3.747436718587E2,6.590359893846E-1
3.753377520925E2,6.435988373873E-1
3.761630831768E2,6.291610803622E-1
3.762454794900E2,6.256978860393E-1
